Open time,Open,High,Low,Close,Volume
2021-08-31 00:00:00,1.5405,1.6809,1.493,1.5738,6198496
2021-08-31 04:00:00,1.5739,1.6249,1.4611,1.5171,7461774
2021-08-31 08:00:00,1.5171,1.5249,1.4701,1.5019,4051722
2021-08-31 12:00:00,1.5014,1.506,1.4509,1.4578,4406265
2021-08-31 16:00:00,1.4578,1.4617,1.401,1.4113,3900691
2021-08-31 20:00:00,1.4113,1.4804,1.3341,1.381,4595994
2021-09-01 00:00:00,1.3814,1.4319,1.32,1.4082,3928536
2021-09-01 04:00:00,1.4083,1.432,1.3293,1.3349,3511994
2021-09-01 08:00:00,1.335,1.4029,1.3349,1.372,4771118
2021-09-01 12:00:00,1.3719,1.4077,1.348,1.354,4132119
2021-09-01 16:00:00,1.3542,1.4693,1.3427,1.4103,10701457
2021-09-01 20:00:00,1.4103,1.4257,1.3739,1.4104,4176556
2021-09-02 00:00:00,1.4105,1.4444,1.3602,1.408,4463975
2021-09-02 04:00:00,1.408,1.4667,1.3848,1.4257,6893565
2021-09-02 08:00:00,1.4243,1.45,1.3954,1.4201,4673949
2021-09-02 12:00:00,1.4201,1.427,1.3307,1.3538,6924338
2021-09-02 16:00:00,1.3537,1.3783,1.3418,1.3694,3727655
2021-09-02 20:00:00,1.3694,1.3784,1.3471,1.354,2402053
2021-09-03 00:00:00,1.3546,1.385,1.33,1.379,2993363
2021-09-03 04:00:00,1.3792,1.3823,1.3442,1.354,3374569
2021-09-03 08:00:00,1.3544,1.4034,1.3504,1.3715,6765670
2021-09-03 12:00:00,1.3716,1.38,1.3526,1.3571,3435540
2021-09-03 16:00:00,1.3571,1.3831,1.34,1.3473,4134201
2021-09-03 20:00:00,1.348,1.3513,1.281,1.3202,6676265
2021-09-04 00:00:00,1.3203,1.342,1.2928,1.3223,4037841
2021-09-04 04:00:00,1.3214,1.3252,1.3039,1.3237,3134009
2021-09-04 08:00:00,1.3245,1.45,1.316,1.4261,26054157
2021-09-04 12:00:00,1.4264,1.6068,1.4257,1.4803,48797126
2021-09-04 16:00:00,1.4802,1.5294,1.3719,1.3891,15860815
2021-09-04 20:00:00,1.3905,1.4315,1.3736,1.3896,6671430
2021-09-05 00:00:00,1.3896,1.45,1.354,1.3685,8801712
2021-09-05 04:00:00,1.3683,1.428,1.367,1.3965,8036203
2021-09-05 08:00:00,1.3953,1.4343,1.39,1.4028,8611580
2021-09-05 12:00:00,1.4027,1.431,1.386,1.3934,11061029
2021-09-05 16:00:00,1.3932,1.435,1.3861,1.407,14268518
2021-09-05 20:00:00,1.407,1.421,1.3911,1.4124,5798669
2021-09-06 00:00:00,1.4124,1.4179,1.4,1.4104,3493626
2021-09-06 04:00:00,1.41,1.45,1.4041,1.4379,8696911
2021-09-06 08:00:00,1.4379,1.495,1.419,1.4264,23469699
2021-09-06 12:00:00,1.4265,1.4277,1.293,1.3638,18338548
2021-09-06 16:00:00,1.3639,1.384,1.3528,1.3648,4611469
2021-09-06 20:00:00,1.3648,1.386,1.3555,1.3721,2687121
2021-09-07 00:00:00,1.3721,1.3817,1.352,1.3595,3914714
2021-09-07 04:00:00,1.3596,1.3827,1.3057,1.3293,6568347
2021-09-07 08:00:00,1.3305,1.3316,1.2089,1.3232,20953314
2021-09-07 12:00:00,1.3239,1.402,0.8847,1.1354,35957857
2021-09-07 16:00:00,1.1353,1.1657,0.98,0.9892,20299024
2021-09-07 20:00:00,0.9892,1.0638,0.9508,1.042,11442621
2021-09-08 00:00:00,1.0443,1.0696,1.0071,1.0161,5789869
2021-09-08 04:00:00,1.0165,1.054,0.9209,0.9228,8304558
2021-09-08 08:00:00,0.9228,1.0275,0.8886,0.9783,11016103
2021-09-08 12:00:00,0.9785,1.0401,0.9743,1.0086,9845784
2021-09-08 16:00:00,1.0087,1.1688,0.9966,1.0755,16326040
2021-09-08 20:00:00,1.0753,1.0765,1.0226,1.0466,7245215
2021-09-09 00:00:00,1.0454,1.1231,1.0312,1.0819,9109558
2021-09-09 04:00:00,1.0827,1.1779,1.0675,1.1411,10655315
2021-09-09 08:00:00,1.1412,1.16,1.0835,1.1299,10293539
2021-09-09 12:00:00,1.1305,1.1549,1.0658,1.1281,7767926
2021-09-09 16:00:00,1.1278,1.1694,1.0933,1.1677,13187988
2021-09-09 20:00:00,1.1675,1.2356,1.13,1.1535,15781982
2021-09-10 00:00:00,1.1537,1.2086,1.1407,1.1636,4375174
2021-09-10 04:00:00,1.163,1.205,1.12,1.1307,8273099
2021-09-10 08:00:00,1.131,1.1426,1.0955,1.1245,6354208
2021-09-10 12:00:00,1.1248,1.1281,1.0,1.0569,10680213
2021-09-10 16:00:00,1.057,1.0697,1.0368,1.0457,5352526
2021-09-10 20:00:00,1.0448,1.0578,0.997,1.0384,5037455
2021-09-11 00:00:00,1.038,1.0614,1.01,1.0228,3801323
2021-09-11 04:00:00,1.0226,1.0539,1.0124,1.0375,4774307
2021-09-11 08:00:00,1.0377,1.0974,1.0272,1.0917,7650267
2021-09-11 12:00:00,1.0918,1.1218,1.0728,1.0914,8409243
2021-09-11 16:00:00,1.0907,1.174,1.075,1.1396,13469484
2021-09-11 20:00:00,1.1396,1.1652,1.1031,1.1175,9209480
2021-09-12 00:00:00,1.1165,1.2284,1.1113,1.1914,29256272
2021-09-12 04:00:00,1.1917,1.3848,1.1666,1.3233,48423586
2021-09-12 08:00:00,1.3233,1.4,1.311,1.3369,45967258
2021-09-12 12:00:00,1.3365,1.359,1.2741,1.3129,26883642
2021-09-12 16:00:00,1.3127,1.3408,1.2763,1.2956,13440065
2021-09-12 20:00:00,1.2953,1.2958,1.219,1.2627,12589308
2021-09-13 00:00:00,1.2641,1.2891,1.1504,1.1519,10341283
2021-09-13 04:00:00,1.1521,1.2002,1.1202,1.1312,8398872
2021-09-13 08:00:00,1.1328,1.1749,1.0917,1.1731,10613633
2021-09-13 12:00:00,1.173,1.219,1.07,1.1466,14983560
2021-09-13 16:00:00,1.146,1.1815,1.1408,1.1692,5778183
2021-09-13 20:00:00,1.1685,1.203,1.1515,1.156,4911179
2021-09-14 00:00:00,1.1564,1.1714,1.1247,1.1668,5088572
2021-09-14 04:00:00,1.1668,1.2027,1.1464,1.1702,7959925
2021-09-14 08:00:00,1.1698,1.2238,1.1619,1.1771,13930668
2021-09-14 12:00:00,1.1763,1.26,1.13,1.2506,28566528
2021-09-14 16:00:00,1.2525,1.3403,1.2381,1.289,22699989
2021-09-14 20:00:00,1.2896,1.3307,1.2508,1.3196,10041518
2021-09-15 00:00:00,1.3197,1.3651,1.2925,1.302,12284132
2021-09-15 04:00:00,1.3021,1.3089,1.2752,1.3058,8199752
2021-09-15 08:00:00,1.3069,1.3099,1.2545,1.2718,7644525
2021-09-15 12:00:00,1.272,1.2797,1.2316,1.2651,8805560
2021-09-15 16:00:00,1.264,1.2811,1.2509,1.2739,6957002
2021-09-15 20:00:00,1.2741,1.2949,1.2555,1.2757,5725145
2021-09-16 00:00:00,1.2757,1.2957,1.2338,1.2507,5656775
2021-09-16 04:00:00,1.251,1.3079,1.2467,1.3024,5228658
2021-09-16 08:00:00,1.3027,1.3059,1.2456,1.2753,6439506
2021-09-16 12:00:00,1.275,1.3018,1.2352,1.2767,7557654
2021-09-16 16:00:00,1.275,1.2987,1.26,1.2622,5771512
2021-09-16 20:00:00,1.2625,1.2667,1.2366,1.2598,4537499
2021-09-17 00:00:00,1.2595,1.2693,1.2026,1.2196,5986408
2021-09-17 04:00:00,1.2196,1.228,1.1744,1.1875,4693261
2021-09-17 08:00:00,1.1875,1.2128,1.139,1.1525,6342645
2021-09-17 12:00:00,1.1524,1.199,1.1352,1.1742,7624613
2021-09-17 16:00:00,1.1735,1.21,1.15,1.1782,4893154
2021-09-17 20:00:00,1.1787,1.1793,1.151,1.1633,1977054
2021-09-18 00:00:00,1.1628,1.1879,1.145,1.1857,2400672
2021-09-18 04:00:00,1.1858,1.206,1.1816,1.1898,2893992
2021-09-18 08:00:00,1.1899,1.225,1.1779,1.179,4842838
2021-09-18 12:00:00,1.1799,1.2649,1.1783,1.2129,25995259
2021-09-18 16:00:00,1.2133,1.2356,1.198,1.2247,11780606
2021-09-18 20:00:00,1.2246,1.2257,1.19,1.2084,4524037
2021-09-19 00:00:00,1.2092,1.2309,1.1904,1.2109,5745132
2021-09-19 04:00:00,1.2125,1.2377,1.2016,1.2139,4665581
2021-09-19 08:00:00,1.214,1.2509,1.18,1.1859,7707280
2021-09-19 12:00:00,1.1859,1.2072,1.1748,1.1989,4817559
2021-09-19 16:00:00,1.1991,1.2497,1.182,1.226,12146784
2021-09-19 20:00:00,1.2262,1.256,1.2018,1.2241,7763222
2021-09-20 00:00:00,1.2242,1.2726,1.0405,1.0812,21694177
2021-09-20 04:00:00,1.0806,1.0874,1.0031,1.0266,9826944
2021-09-20 08:00:00,1.0261,1.0547,0.9517,0.9905,10465922
2021-09-20 12:00:00,0.9901,1.0286,0.9188,1.0055,12563116
2021-09-20 16:00:00,1.0051,1.0294,0.9558,0.9903,7223239
2021-09-20 20:00:00,0.9901,1.0041,0.9527,0.973,6679643
2021-09-21 00:00:00,0.972,0.9907,0.896,0.969,9794380
2021-09-21 04:00:00,0.9689,0.9968,0.9412,0.9964,4812838
2021-09-21 08:00:00,0.9963,1.0166,0.9834,1.0037,5816489
2021-09-21 12:00:00,1.0032,1.0112,0.95,0.982,6838837
2021-09-21 16:00:00,0.9818,0.9882,0.9226,0.926,6107122
2021-09-21 20:00:00,0.926,0.9322,0.8305,0.854,9758740
2021-09-22 00:00:00,0.8549,0.8967,0.8335,0.8842,5680389
2021-09-22 04:00:00,0.8843,0.9473,0.868,0.935,5455487
2021-09-22 08:00:00,0.935,0.9443,0.8952,0.9034,10168948
2021-09-22 12:00:00,0.9034,0.9478,0.9004,0.9454,7980420
2021-09-22 16:00:00,0.9446,0.985,0.9354,0.9593,10442757
2021-09-22 20:00:00,0.9589,0.9715,0.9481,0.9675,4664382
2021-09-23 00:00:00,0.9673,0.9933,0.9476,0.9904,4159741
2021-09-23 04:00:00,0.991,1.0154,0.9874,1.0015,5601367
2021-09-23 08:00:00,1.0016,1.0061,0.9429,0.9528,6049479
2021-09-23 12:00:00,0.953,0.9876,0.9468,0.9667,5143382
2021-09-23 16:00:00,0.9667,1.0141,0.9635,1.0092,5786487
2021-09-23 20:00:00,1.0094,1.0647,0.9925,1.0436,9277215
2021-09-24 00:00:00,1.0435,1.062,1.0056,1.0221,6959661
2021-09-24 04:00:00,1.0217,1.0217,0.9722,0.9894,4946023
2021-09-24 08:00:00,0.9882,1.0019,0.8482,0.888,13373253
2021-09-24 12:00:00,0.8876,0.9179,0.8631,0.905,8020936
2021-09-24 16:00:00,0.905,0.92,0.8846,0.8975,17259457
2021-09-24 20:00:00,0.8975,0.92,0.8917,0.9041,7436421
2021-09-25 00:00:00,0.9043,0.93,0.892,0.9124,7004210
2021-09-25 04:00:00,0.9122,0.9364,0.896,0.9053,7022397
2021-09-25 08:00:00,0.9054,0.9209,0.8716,0.9035,11295977
2021-09-25 12:00:00,0.9035,0.9119,0.8927,0.9049,5805411
2021-09-25 16:00:00,0.9045,0.9083,0.8925,0.8992,4813469
2021-09-25 20:00:00,0.8991,0.9024,0.8842,0.897,3364805
2021-09-26 00:00:00,0.897,0.8994,0.8444,0.8675,5012763
2021-09-26 04:00:00,0.8675,0.8759,0.7955,0.8125,6853339
2021-09-26 08:00:00,0.8123,0.8656,0.8018,0.8569,7235391
2021-09-26 12:00:00,0.8569,0.8774,0.848,0.8667,3731381
2021-09-26 16:00:00,0.8667,0.8726,0.8521,0.8631,2671028
2021-09-26 20:00:00,0.8636,0.8733,0.8333,0.8482,3430428
2021-09-27 00:00:00,0.8481,0.8939,0.8366,0.8782,4129172
2021-09-27 04:00:00,0.8788,0.8931,0.8687,0.8747,3305856
2021-09-27 08:00:00,0.8748,0.888,0.8627,0.8812,2904474
2021-09-27 12:00:00,0.8812,0.8825,0.8401,0.8551,5864296
2021-09-27 16:00:00,0.855,0.8575,0.831,0.8341,3378697
2021-09-27 20:00:00,0.834,0.8397,0.8091,0.8118,3023673
2021-09-28 00:00:00,0.8121,0.8253,0.805,0.822,2137840
2021-09-28 04:00:00,0.8224,0.8458,0.7983,0.8051,4694549
2021-09-28 08:00:00,0.8053,0.8193,0.7981,0.8175,3386729
2021-09-28 12:00:00,0.818,0.8229,0.7782,0.7802,6777775
2021-09-28 16:00:00,0.78,0.7866,0.7606,0.7742,5463267
2021-09-28 20:00:00,0.7741,0.7859,0.7576,0.7634,3303526
2021-09-29 00:00:00,0.7631,0.7978,0.7584,0.7965,3500851
2021-09-29 04:00:00,0.7968,0.8083,0.7915,0.8068,2606822
2021-09-29 08:00:00,0.8069,0.8245,0.7931,0.8188,3710990
2021-09-29 12:00:00,0.8189,0.823,0.784,0.7874,3804449
2021-09-29 16:00:00,0.7875,0.7933,0.7732,0.7769,3342991
2021-09-29 20:00:00,0.7771,0.781,0.761,0.7797,2478701
2021-09-30 00:00:00,0.7797,0.8107,0.7761,0.8097,2840828
2021-09-30 04:00:00,0.8097,0.816,0.7962,0.7986,3138186
2021-09-30 08:00:00,0.799,0.8119,0.7835,0.7957,4110660
2021-09-30 12:00:00,0.7959,0.8164,0.794,0.8037,4015556
