Open time,Open,High,Low,Close,Volume
2021-01-01 00:00:00,6.472,6.525,6.186,6.199,1650537.02
2021-01-01 04:00:00,6.199,6.231,5.864,6.032,1097436.11
2021-01-01 08:00:00,6.032,6.097,5.872,6.019,847519.99
2021-01-01 12:00:00,6.02,6.11,5.89,5.928,1154105.31
2021-01-01 16:00:00,5.933,5.977,5.65,5.815,1402850.39
2021-01-01 20:00:00,5.81,5.925,5.767,5.873,495634.34
2021-01-02 00:00:00,5.873,5.895,5.573,5.75,869078.08
2021-01-02 04:00:00,5.748,5.756,5.585,5.609,636553.1
2021-01-02 08:00:00,5.608,5.626,5.4,5.474,994036.76
2021-01-02 12:00:00,5.473,5.646,5.294,5.62,2478817.64
2021-01-02 16:00:00,5.622,5.723,5.442,5.662,1853018.53
2021-01-02 20:00:00,5.665,5.677,5.182,5.43,1538702.65
2021-01-03 00:00:00,5.427,5.574,5.289,5.449,741544.62
2021-01-03 04:00:00,5.449,5.477,5.34,5.356,485901.81
2021-01-03 08:00:00,5.356,5.738,5.321,5.631,1060863.53
2021-01-03 12:00:00,5.63,5.848,5.5,5.62,1830083.52
2021-01-03 16:00:00,5.615,5.798,5.551,5.625,1309894.03
2021-01-03 20:00:00,5.625,5.933,5.616,5.843,1256672.44
2021-01-04 00:00:00,5.843,6.218,5.843,6.131,1719379.36
2021-01-04 04:00:00,6.134,6.309,5.661,5.763,2338485.44
2021-01-04 08:00:00,5.763,6.027,5.25,5.704,3382241.61
2021-01-04 12:00:00,5.705,5.955,5.632,5.893,1150788.58
2021-01-04 16:00:00,5.893,5.94,5.671,5.832,698050.04
2021-01-04 20:00:00,5.832,6.065,5.75,6.057,710489.37
2021-01-05 00:00:00,6.058,6.148,5.778,5.781,1438838.55
2021-01-05 04:00:00,5.786,5.867,5.641,5.8,761511.79
2021-01-05 08:00:00,5.801,6.183,5.8,6.143,1073431.75
2021-01-05 12:00:00,6.14,6.185,5.85,6.08,1128186.12
2021-01-05 16:00:00,6.077,6.413,6.014,6.158,1929638.72
2021-01-05 20:00:00,6.157,6.359,6.13,6.209,887239.85
2021-01-06 00:00:00,6.209,6.297,5.884,5.936,1087573.78
2021-01-06 04:00:00,5.931,6.235,5.917,6.12,964126.64
2021-01-06 08:00:00,6.122,6.4,6.026,6.358,1214905.93
2021-01-06 12:00:00,6.361,6.858,6.243,6.56,3022557.83
2021-01-06 16:00:00,6.56,6.97,6.525,6.587,1554983.21
2021-01-06 20:00:00,6.589,6.832,6.371,6.708,1323388.02
2021-01-07 00:00:00,6.707,6.866,6.574,6.641,895973.77
