Open time,Open,High,Low,Close,Volume
2021-01-01 00:00:00,3.1894,3.2663,3.0479,3.1202,2230533
2021-01-01 04:00:00,3.1202,3.1859,3.0703,3.1846,838233
2021-01-01 08:00:00,3.1846,3.55,3.152,3.5191,1942419
2021-01-01 12:00:00,3.5191,3.8455,3.4574,3.6652,5249865
2021-01-01 16:00:00,3.6614,3.6799,3.4462,3.5687,2543224
2021-01-01 20:00:00,3.5712,3.8192,3.5406,3.6541,2481711
2021-01-02 00:00:00,3.6565,3.945,3.5443,3.8947,2076889
2021-01-02 04:00:00,3.8948,3.8976,3.672,3.6733,1311117
2021-01-02 08:00:00,3.6735,3.6982,3.5161,3.5909,1454026
2021-01-02 12:00:00,3.5908,3.6344,3.51,3.5561,1195549
2021-01-02 16:00:00,3.5576,3.561,3.3539,3.3728,1599037
2021-01-02 20:00:00,3.3719,3.598,3.2954,3.505,1677333
2021-01-03 00:00:00,3.5046,3.5439,3.4002,3.5035,823111
2021-01-03 04:00:00,3.5036,3.5953,3.4888,3.5099,804782
2021-01-03 08:00:00,3.5118,3.7497,3.4973,3.6712,1553466
2021-01-03 12:00:00,3.6711,3.7937,3.6287,3.7561,1494384
2021-01-03 16:00:00,3.7552,3.8508,3.5236,3.5648,1871804
2021-01-03 20:00:00,3.5648,3.6487,3.4346,3.4907,1576886
2021-01-04 00:00:00,3.4927,3.7239,3.4838,3.6352,1333645
2021-01-04 04:00:00,3.6356,3.8861,3.4627,3.5858,2660714
2021-01-04 08:00:00,3.5798,3.6659,3.2,3.4274,2672854
2021-01-04 12:00:00,3.4263,3.5143,3.3415,3.4448,1189607
2021-01-04 16:00:00,3.4449,3.498,3.3411,3.468,1045787
2021-01-04 20:00:00,3.4677,3.6183,3.406,3.6036,1015595
2021-01-05 00:00:00,3.6034,3.7971,3.5706,3.6243,1976715
2021-01-05 04:00:00,3.6244,3.6704,3.4648,3.6186,1326321
2021-01-05 08:00:00,3.6192,4.1957,3.6144,4.0665,3340817
2021-01-05 12:00:00,4.066,4.25,3.9129,4.2094,2609619
2021-01-05 16:00:00,4.2063,4.3703,4.1042,4.1694,1930272
2021-01-05 20:00:00,4.1739,4.3415,4.1264,4.2626,1427047
2021-01-06 00:00:00,4.2632,4.4155,4.1491,4.3185,1439195
2021-01-06 04:00:00,4.3186,4.6895,4.2316,4.5022,1829728
2021-01-06 08:00:00,4.5018,4.95,4.4138,4.9366,1642412
2021-01-06 12:00:00,4.9363,4.9651,4.6506,4.7372,1327451
2021-01-06 16:00:00,4.7382,4.9949,4.3653,4.3849,1632313
2021-01-06 20:00:00,4.3836,4.6956,4.3293,4.5808,1485598
2021-01-07 00:00:00,4.5808,4.8197,4.4567,4.7373,994471
2021-01-07 04:00:00,4.735,4.7501,4.4599,4.4823,849942
2021-01-07 08:00:00,4.4845,4.6754,4.3633,4.5733,1031012
2021-01-07 12:00:00,4.5736,4.8186,4.5267,4.7766,1255220
2021-01-07 16:00:00,4.7767,4.8294,4.1735,4.557,1684573
2021-01-07 20:00:00,4.5577,4.613,4.3643,4.4722,1115085
2021-01-08 00:00:00,4.4765,4.5464,4.03,4.2975,1167331
2021-01-08 04:00:00,4.297,4.6799,4.2318,4.6744,1111519
2021-01-08 08:00:00,4.674,5.5207,4.552,5.0676,3147543
2021-01-08 12:00:00,5.0661,5.7,5.0661,5.3265,2782560
2021-01-08 16:00:00,5.3266,5.3906,5.062,5.1228,2088967
2021-01-08 20:00:00,5.1216,5.8591,4.9892,5.7084,2682689
2021-01-09 00:00:00,5.6965,6.6,5.5763,6.4485,3746275
2021-01-09 04:00:00,6.4502,6.7705,6.0726,6.54,2003765
2021-01-09 08:00:00,6.5438,6.926,6.3326,6.4858,2050813
2021-01-09 12:00:00,6.4883,7.23,6.4323,7.032,1987008
2021-01-09 16:00:00,7.0331,7.4629,6.8142,7.1605,1823878
2021-01-09 20:00:00,7.1597,7.4707,6.92,7.1895,1514505
2021-01-10 00:00:00,7.1915,7.509,6.9444,7.0163,1573917
2021-01-10 04:00:00,7.0143,7.3134,6.9966,7.2299,906240
2021-01-10 08:00:00,7.2299,7.2595,6.5248,6.6039,1468092
2021-01-10 12:00:00,6.6043,6.9488,6.4598,6.8133,1234889
2021-01-10 16:00:00,6.8053,6.9857,6.4067,6.4664,1394723
2021-01-10 20:00:00,6.4643,6.7913,6.151,6.5449,1280182
2021-01-11 00:00:00,6.5428,6.5487,5.8232,6.1339,1574658
2021-01-11 04:00:00,6.1304,6.331,5.7967,6.0925,1587893
2021-01-11 08:00:00,6.0929,6.7469,6.0303,6.572,1214314
2021-01-11 12:00:00,6.5738,6.9974,5.6944,6.0299,2165426
2021-01-11 16:00:00,6.0225,6.288,5.7535,6.0104,1539729
2021-01-11 20:00:00,6.0059,6.4972,5.8747,6.4571,1050690
2021-01-12 00:00:00,6.4587,7.3935,6.3814,7.1934,1948402
2021-01-12 04:00:00,7.1965,7.9664,7.1264,7.8692,1706138
2021-01-12 08:00:00,7.8798,8.0592,7.4273,7.864,1943893
2021-01-12 12:00:00,7.87,8.2125,7.4787,7.9114,2342856
2021-01-12 16:00:00,7.9074,8.0633,7.4459,7.639,1582252
2021-01-12 20:00:00,7.6385,7.8874,7.4893,7.7118,1429015
2021-01-13 00:00:00,7.7083,7.73,7.1157,7.4013,1359471
2021-01-13 04:00:00,7.4084,7.8447,7.1919,7.6245,1395448
2021-01-13 08:00:00,7.6299,7.9827,7.5349,7.6304,1293812
2021-01-13 12:00:00,7.6322,7.9809,7.5708,7.78,1158782
2021-01-13 16:00:00,7.7861,7.843,7.5084,7.7889,1015359
2021-01-13 20:00:00,7.7918,8.4953,7.7458,8.4617,1748305
2021-01-14 00:00:00,8.4608,8.6233,8.2051,8.2754,1184003
2021-01-14 04:00:00,8.2772,8.455,8.202,8.3941,1133620
2021-01-14 08:00:00,8.3935,9.5199,8.3182,9.3724,1681839
2021-01-14 12:00:00,9.3645,9.6014,9.1475,9.4906,1735083
2021-01-14 16:00:00,9.499,9.5659,8.84,8.8632,1608444
2021-01-14 20:00:00,8.8615,9.5087,8.5188,9.3204,1458913
2021-01-15 00:00:00,9.3284,9.6492,9.0327,9.1967,1150963
2021-01-15 04:00:00,9.1911,9.4551,8.8809,9.2885,1119494
2021-01-15 08:00:00,9.2898,9.8694,9.1422,9.5701,1225535
2021-01-15 12:00:00,9.5683,9.9147,9.0827,9.1828,1447168
2021-01-15 16:00:00,9.1758,9.3988,8.5623,9.0252,1635667
2021-01-15 20:00:00,9.0248,9.5586,8.9487,9.3586,1167891
2021-01-16 00:00:00,9.3597,9.5,9.1269,9.281,1073796
2021-01-16 04:00:00,9.2808,9.85,9.1392,9.8103,968968
2021-01-16 08:00:00,9.8096,11.9672,9.7006,11.6793,2434119
2021-01-16 12:00:00,11.6756,13.6592,11.2246,12.7169,3041671
2021-01-16 16:00:00,12.7273,13.2,12.2187,12.97,1911038
2021-01-16 20:00:00,12.9678,13.397,12.33,12.7952,1882171
2021-01-17 00:00:00,12.7817,13.8833,12.361,13.5496,2399325
2021-01-17 04:00:00,13.5517,14.71,12.6958,12.9686,2922270
2021-01-17 08:00:00,12.9709,13.98,12.5876,13.6269,1877825
2021-01-17 12:00:00,13.6326,13.7329,12.9002,13.1258,1204507
2021-01-17 16:00:00,13.1205,13.1387,12.3,12.6952,1365783
2021-01-17 20:00:00,12.7,13.56,12.6296,13.1289,1559468
2021-01-18 00:00:00,13.1177,13.1868,12.5001,12.6151,808003
2021-01-18 04:00:00,12.606,13.8446,12.5703,13.77,1034590
2021-01-18 08:00:00,13.7625,13.8,12.9749,13.1744,1179509
2021-01-18 12:00:00,13.1728,13.616,12.9346,13.2489,939445
2021-01-18 16:00:00,13.2454,13.527,13.1075,13.516,873145
2021-01-18 20:00:00,13.5159,13.5766,12.6436,12.6751,864827
2021-01-19 00:00:00,12.6709,12.7362,12.0439,12.1458,949415
2021-01-19 04:00:00,12.139,13.1145,12.1368,12.6995,1059708
2021-01-19 08:00:00,12.6863,13.3783,12.6633,12.703,880366
2021-01-19 12:00:00,12.6924,12.9418,12.5607,12.7716,712435
