Open time,Open,High,Low,Close,Volume
2021-01-01 00:00:00,0.625,0.675,0.609,0.661,17927940.0
2021-01-01 04:00:00,0.661,0.662,0.623,0.639,9406360.9
2021-01-01 08:00:00,0.638,0.646,0.611,0.635,14706647.5
2021-01-01 12:00:00,0.635,0.661,0.612,0.646,18874796.5
2021-01-01 16:00:00,0.646,0.671,0.602,0.622,20116158.5
2021-01-01 20:00:00,0.621,0.643,0.607,0.62,12580705.5
2021-01-02 00:00:00,0.621,0.621,0.564,0.589,23224720.3
2021-01-02 04:00:00,0.589,0.593,0.571,0.58,6502085.8
2021-01-02 08:00:00,0.58,0.588,0.566,0.578,7577386.7
2021-01-02 12:00:00,0.578,0.608,0.565,0.594,14983411.2
2021-01-02 16:00:00,0.595,0.624,0.583,0.611,14154193.6
2021-01-02 20:00:00,0.612,0.62,0.583,0.612,13418160.5
2021-01-03 00:00:00,0.613,0.636,0.609,0.63,7619165.7
2021-01-03 04:00:00,0.631,0.637,0.595,0.599,10846716.1
2021-01-03 08:00:00,0.599,0.61,0.585,0.606,11895225.1
2021-01-03 12:00:00,0.606,0.648,0.601,0.624,22739094.0
2021-01-03 16:00:00,0.623,0.641,0.604,0.614,15485579.9
2021-01-03 20:00:00,0.614,0.696,0.612,0.681,21031514.4
2021-01-04 00:00:00,0.681,0.728,0.666,0.711,18281891.3
2021-01-04 04:00:00,0.712,0.736,0.641,0.657,30287702.1
2021-01-04 08:00:00,0.657,0.681,0.578,0.633,39590166.1
2021-01-04 12:00:00,0.632,0.654,0.611,0.635,14224202.9
2021-01-04 16:00:00,0.635,0.638,0.606,0.633,10312764.3
2021-01-04 20:00:00,0.632,0.68,0.623,0.676,9148732.2
2021-01-05 00:00:00,0.677,0.709,0.633,0.639,16755855.4
2021-01-05 04:00:00,0.639,0.658,0.622,0.636,18533713.5
2021-01-05 08:00:00,0.636,0.686,0.636,0.682,12334276.8
2021-01-05 12:00:00,0.682,0.701,0.648,0.694,15865216.3
2021-01-05 16:00:00,0.694,0.728,0.673,0.696,25363799.7
2021-01-05 20:00:00,0.697,0.703,0.683,0.689,8415248.4
2021-01-06 00:00:00,0.69,0.736,0.668,0.725,13143630.0
2021-01-06 04:00:00,0.726,0.73,0.703,0.712,9741185.3
2021-01-06 08:00:00,0.713,0.756,0.701,0.74,14713852.5
2021-01-06 12:00:00,0.74,0.787,0.732,0.754,19034102.1
2021-01-06 16:00:00,0.754,0.788,0.707,0.712,14794117.1
2021-01-06 20:00:00,0.712,0.75,0.695,0.734,15821582.2
2021-01-07 00:00:00,0.735,0.77,0.719,0.735,7709333.1
2021-01-07 04:00:00,0.735,0.749,0.711,0.718,8544091.7
2021-01-07 08:00:00,0.718,0.735,0.683,0.72,14525924.8
2021-01-07 12:00:00,0.72,0.793,0.717,0.777,14181594.2
2021-01-07 16:00:00,0.777,0.783,0.684,0.732,22137253.7
2021-01-07 20:00:00,0.733,0.744,0.701,0.719,8914899.1
2021-01-08 00:00:00,0.719,0.731,0.619,0.663,19080597.6
2021-01-08 04:00:00,0.662,0.707,0.646,0.701,12825996.8
2021-01-08 08:00:00,0.701,0.726,0.677,0.711,12072455.1
2021-01-08 12:00:00,0.712,0.739,0.685,0.703,20396165.1
2021-01-08 16:00:00,0.703,0.71,0.673,0.675,9115660.1
2021-01-08 20:00:00,0.674,0.701,0.654,0.694,7489767.2
2021-01-09 00:00:00,0.693,0.751,0.668,0.748,11432722.4
2021-01-09 04:00:00,0.748,0.748,0.708,0.728,9533275.8
2021-01-09 08:00:00,0.728,0.771,0.72,0.745,11279137.5
2021-01-09 12:00:00,0.745,0.786,0.735,0.773,12579482.4
2021-01-09 16:00:00,0.772,0.807,0.743,0.802,12410200.2
2021-01-09 20:00:00,0.802,0.806,0.763,0.769,7898568.9
2021-01-10 00:00:00,0.768,0.834,0.768,0.803,9814688.9
2021-01-10 04:00:00,0.803,0.847,0.794,0.845,7218179.9
2021-01-10 08:00:00,0.846,0.849,0.733,0.755,22457819.2
2021-01-10 12:00:00,0.756,0.8,0.739,0.789,18690619.4
2021-01-10 16:00:00,0.789,0.799,0.725,0.743,16233805.7
2021-01-10 20:00:00,0.743,0.769,0.699,0.755,14198209.9
2021-01-11 00:00:00,0.754,0.758,0.621,0.665,21947983.6
2021-01-11 04:00:00,0.665,0.687,0.623,0.659,19116052.8
2021-01-11 08:00:00,0.66,0.689,0.629,0.634,13877187.3
2021-01-11 12:00:00,0.633,0.652,0.578,0.593,23449158.6
2021-01-11 16:00:00,0.593,0.604,0.527,0.567,22199708.0
2021-01-11 20:00:00,0.566,0.622,0.554,0.62,10346624.4
2021-01-12 00:00:00,0.62,0.638,0.593,0.633,8829310.0
2021-01-12 04:00:00,0.633,0.653,0.62,0.642,8994189.5
2021-01-12 08:00:00,0.642,0.644,0.607,0.622,11272952.6
2021-01-12 12:00:00,0.623,0.635,0.589,0.609,11134383.4
2021-01-12 16:00:00,0.609,0.67,0.608,0.642,14534741.7
2021-01-12 20:00:00,0.641,0.641,0.609,0.622,8318864.7
2021-01-13 00:00:00,0.623,0.636,0.601,0.635,8050005.2
2021-01-13 04:00:00,0.635,0.656,0.611,0.648,6851386.5
2021-01-13 08:00:00,0.649,0.673,0.644,0.649,9428310.9
2021-01-13 12:00:00,0.649,0.671,0.638,0.658,7014868.8
2021-01-13 16:00:00,0.659,0.69,0.658,0.675,5496975.8
2021-01-13 20:00:00,0.675,0.693,0.664,0.687,6991407.9
2021-01-14 00:00:00,0.687,0.696,0.661,0.673,5580615.0
2021-01-14 04:00:00,0.672,0.701,0.666,0.692,4757213.7
2021-01-14 08:00:00,0.693,0.728,0.687,0.722,6428588.7
2021-01-14 12:00:00,0.722,0.75,0.708,0.743,8976658.6
2021-01-14 16:00:00,0.742,0.757,0.725,0.732,7848962.6
2021-01-14 20:00:00,0.731,0.798,0.705,0.797,9871696.5
2021-01-15 00:00:00,0.797,0.87,0.783,0.823,30624730.0
2021-01-15 04:00:00,0.823,0.977,0.811,0.953,41719832.3
2021-01-15 08:00:00,0.954,1.087,0.916,1.079,47757012.0
2021-01-15 12:00:00,1.078,1.102,0.895,0.918,60721620.3
2021-01-15 16:00:00,0.917,1.088,0.86,1.022,67046758.8
2021-01-15 20:00:00,1.022,1.199,0.992,1.148,36494988.5
2021-01-16 00:00:00,1.148,1.268,1.132,1.195,31513520.6
2021-01-16 04:00:00,1.196,1.213,1.099,1.18,17398384.2
2021-01-16 08:00:00,1.18,1.234,1.115,1.2,17374291.5
2021-01-16 12:00:00,1.199,1.226,1.101,1.21,18207481.9
