Open time,Open,High,Low,Close,Volume
2021-01-01 00:00:00,2.593,2.653,2.57,2.64,3449743.6
2021-01-01 04:00:00,2.64,2.675,2.6,2.623,2753651.5
2021-01-01 08:00:00,2.623,2.666,2.58,2.645,3362097.3
2021-01-01 12:00:00,2.645,2.736,2.625,2.672,7550586.1
2021-01-01 16:00:00,2.672,2.702,2.588,2.617,5301960.9
2021-01-01 20:00:00,2.618,2.643,2.61,2.64,2024129.9
2021-01-02 00:00:00,2.64,2.653,2.564,2.609,4622226.6
2021-01-02 04:00:00,2.609,2.632,2.596,2.612,2200360.7
2021-01-02 08:00:00,2.612,2.635,2.571,2.605,6642985.4
2021-01-02 12:00:00,2.604,2.679,2.595,2.635,7163353.9
2021-01-02 16:00:00,2.637,2.728,2.608,2.664,9750436.7
2021-01-02 20:00:00,2.663,2.665,2.572,2.633,5922441.1
2021-01-03 00:00:00,2.633,2.646,2.589,2.591,3030762.6
2021-01-03 04:00:00,2.591,2.649,2.579,2.602,6429871.3
2021-01-03 08:00:00,2.602,2.805,2.591,2.74,19412121.4
2021-01-03 12:00:00,2.741,2.859,2.67,2.718,25397428.1
2021-01-03 16:00:00,2.717,2.795,2.687,2.708,16643981.9
2021-01-03 20:00:00,2.708,2.855,2.707,2.804,7830826.5
2021-01-04 00:00:00,2.806,3.059,2.789,2.998,23617229.6
2021-01-04 04:00:00,2.997,3.132,2.816,2.903,36585026.6
2021-01-04 08:00:00,2.904,2.947,2.61,2.762,34094182.1
2021-01-04 12:00:00,2.762,2.832,2.723,2.768,11811160.6
2021-01-04 16:00:00,2.77,2.787,2.701,2.776,8778970.4
2021-01-04 20:00:00,2.777,2.826,2.716,2.822,6015786.1
2021-01-05 00:00:00,2.823,2.895,2.747,2.752,13583805.7
2021-01-05 04:00:00,2.752,2.795,2.714,2.765,8209956.0
2021-01-05 08:00:00,2.764,2.898,2.764,2.882,9170183.3
2021-01-05 12:00:00,2.882,2.894,2.765,2.864,9589984.9
2021-01-05 16:00:00,2.864,2.958,2.848,2.898,12616400.3
2021-01-05 20:00:00,2.897,2.946,2.873,2.888,6439550.4
2021-01-06 00:00:00,2.888,2.916,2.852,2.859,5236417.6
2021-01-06 04:00:00,2.859,2.943,2.853,2.918,8422409.6
2021-01-06 08:00:00,2.918,3.12,2.918,3.071,24071301.0
2021-01-06 12:00:00,3.071,3.343,3.052,3.251,37150928.4
2021-01-06 16:00:00,3.25,3.47,3.25,3.306,25093716.9
2021-01-06 20:00:00,3.306,3.444,3.149,3.379,20283940.3
2021-01-07 00:00:00,3.38,3.462,3.318,3.396,15565752.6
2021-01-07 04:00:00,3.396,3.406,3.18,3.206,19751606.6
2021-01-07 08:00:00,3.208,3.347,3.091,3.338,25629763.0
2021-01-07 12:00:00,3.338,3.393,3.259,3.309,17378596.2
