Open time,Open,High,Low,Close,Volume
2021-02-18 04:00:00,11.01,12.636,11.01,12.112,135319.3
2021-02-18 08:00:00,12.111,12.97,11.329,11.691,584864.6
2021-02-18 12:00:00,11.694,12.035,11.391,11.65,270969.3
2021-02-18 16:00:00,11.653,11.934,11.222,11.595,247242.9
2021-02-18 20:00:00,11.593,11.84,11.289,11.332,149964.6
2021-02-19 00:00:00,11.335,11.561,10.161,10.837,385912.1
2021-02-19 04:00:00,10.839,11.539,10.46,11.117,358739.8
2021-02-19 08:00:00,11.135,11.5,10.627,11.08,471258.7
2021-02-19 12:00:00,11.081,11.391,10.559,10.671,469024.4
2021-02-19 16:00:00,10.69,10.966,10.306,10.552,353341.7
2021-02-19 20:00:00,10.548,10.875,10.001,10.248,463950.6
2021-02-20 00:00:00,10.255,10.523,9.6,10.005,603905.1
2021-02-20 04:00:00,10.0,11.55,9.883,11.316,811529.4
2021-02-20 08:00:00,11.332,12.5,11.307,11.723,1257850.8
2021-02-20 12:00:00,11.725,11.78,10.27,10.494,1022397.3
2021-02-20 16:00:00,10.516,11.55,10.48,11.012,548487.8
2021-02-20 20:00:00,11.014,11.4,9.404,10.335,828120.9
2021-02-21 00:00:00,10.323,11.459,10.05,11.261,455434.0
2021-02-21 04:00:00,11.261,11.5,10.75,11.144,433410.6
2021-02-21 08:00:00,11.148,11.407,10.822,11.121,361459.0
2021-02-21 12:00:00,11.121,11.595,10.932,11.016,443831.7
2021-02-21 16:00:00,11.03,11.191,10.553,10.764,489842.3
2021-02-21 20:00:00,10.769,10.824,10.235,10.652,330084.2
2021-02-22 00:00:00,10.654,10.706,10.11,10.198,321085.8
2021-02-22 04:00:00,10.2,10.582,10.001,10.475,348987.6
2021-02-22 08:00:00,10.484,11.164,9.457,9.985,1151374.9
2021-02-22 12:00:00,9.997,10.045,7.173,9.191,1881026.6
2021-02-22 16:00:00,9.175,9.389,8.186,9.211,645718.6
2021-02-22 20:00:00,9.216,9.65,8.9,9.167,367766.3
2021-02-23 00:00:00,9.204,9.275,8.123,8.571,404684.1
2021-02-23 04:00:00,8.57,8.7,7.577,8.17,657994.4
2021-02-23 08:00:00,8.173,8.282,6.139,7.107,1420569.0
2021-02-23 12:00:00,7.107,8.096,6.808,7.666,668256.9
2021-02-23 16:00:00,7.677,7.9,6.778,6.799,368047.8
2021-02-23 20:00:00,6.794,7.7,6.76,7.64,288950.0
2021-02-24 00:00:00,7.639,8.354,7.053,8.327,356191.4
2021-02-24 04:00:00,8.325,8.667,7.81,8.505,545073.4
2021-02-24 08:00:00,8.513,9.093,8.366,8.7,719648.7
2021-02-24 12:00:00,8.698,8.899,7.698,8.25,569435.4
2021-02-24 16:00:00,8.25,8.937,8.091,8.187,701056.5
2021-02-24 20:00:00,8.19,8.604,7.807,8.525,384217.4
2021-02-25 00:00:00,8.511,8.767,8.069,8.178,243967.6
2021-02-25 04:00:00,8.175,8.524,8.01,8.417,293576.6
2021-02-25 08:00:00,8.417,9.42,8.167,9.212,976206.9
2021-02-25 12:00:00,9.202,9.979,8.895,9.661,1064323.6
2021-02-25 16:00:00,9.658,10.0,8.8,9.063,661709.1
2021-02-25 20:00:00,9.061,9.085,8.045,8.183,767218.9
2021-02-26 00:00:00,8.18,8.609,7.9,8.572,493461.1
2021-02-26 04:00:00,8.573,8.846,7.281,7.655,683232.7
2021-02-26 08:00:00,7.655,8.299,7.639,7.974,414874.0
2021-02-26 12:00:00,7.973,8.766,7.699,8.604,992839.4
2021-02-26 16:00:00,8.612,8.888,7.973,8.061,545681.5
2021-02-26 20:00:00,8.074,8.155,7.7,8.014,309769.2
2021-02-27 00:00:00,8.011,8.424,7.985,8.232,221524.9
2021-02-27 04:00:00,8.23,8.67,8.135,8.437,289822.1
2021-02-27 08:00:00,8.451,8.569,8.052,8.382,303920.1
2021-02-27 12:00:00,8.383,8.475,7.805,7.91,390530.6
2021-02-27 16:00:00,7.913,8.155,7.845,8.151,254872.9
2021-02-27 20:00:00,8.142,8.169,7.469,7.764,300875.0
2021-02-28 00:00:00,7.757,7.874,6.993,7.062,356677.1
2021-02-28 04:00:00,7.06,7.263,6.5,6.872,569985.3
2021-02-28 08:00:00,6.871,7.322,6.858,7.159,275274.4
2021-02-28 12:00:00,7.161,7.2,6.393,6.531,609552.2
2021-02-28 16:00:00,6.53,6.917,6.357,6.905,378276.3
2021-02-28 20:00:00,6.905,7.134,6.807,6.911,257058.6
2021-03-01 00:00:00,6.916,7.351,6.823,7.143,244865.2
2021-03-01 04:00:00,7.144,7.239,6.937,7.147,158861.8
2021-03-01 08:00:00,7.153,7.833,7.15,7.523,426026.8
2021-03-01 12:00:00,7.523,7.751,7.355,7.719,317636.2
2021-03-01 16:00:00,7.721,7.781,7.25,7.297,262864.7
2021-03-01 20:00:00,7.299,7.697,7.234,7.623,192853.3
2021-03-02 00:00:00,7.621,7.799,7.361,7.425,274415.8
2021-03-02 04:00:00,7.418,7.522,7.186,7.383,197424.0
2021-03-02 08:00:00,7.382,8.365,7.303,8.231,997051.4
2021-03-02 12:00:00,8.234,8.549,8.002,8.183,691747.4
2021-03-02 16:00:00,8.187,8.249,7.582,7.735,826304.9
2021-03-02 20:00:00,7.737,8.378,7.656,8.321,365977.0
2021-03-03 00:00:00,8.312,8.624,8.05,8.107,420702.9
2021-03-03 04:00:00,8.108,8.889,8.108,8.697,663397.8
2021-03-03 08:00:00,8.705,8.966,8.351,8.467,805479.2
2021-03-03 12:00:00,8.467,8.791,8.213,8.413,572977.6
2021-03-03 16:00:00,8.416,8.668,8.206,8.33,413053.0
2021-03-03 20:00:00,8.33,8.448,8.129,8.206,279557.6
2021-03-04 00:00:00,8.2,8.493,7.879,8.019,446962.9
2021-03-04 04:00:00,8.019,8.134,7.903,8.085,227791.0
2021-03-04 08:00:00,8.078,8.267,7.65,7.91,443758.9
2021-03-04 12:00:00,7.908,8.38,7.819,8.041,469024.5
2021-03-04 16:00:00,8.03,8.194,7.519,7.696,367957.9
2021-03-04 20:00:00,7.696,7.873,7.54,7.798,167081.7
2021-03-05 00:00:00,7.801,7.899,7.113,7.561,470385.6
2021-03-05 04:00:00,7.561,7.63,7.246,7.565,215868.9
2021-03-05 08:00:00,7.568,7.606,7.257,7.57,231552.6
2021-03-05 12:00:00,7.572,7.927,7.457,7.671,320213.9
2021-03-05 16:00:00,7.672,7.8,7.353,7.797,208184.4
2021-03-05 20:00:00,7.793,7.836,7.606,7.693,168085.2
2021-03-06 00:00:00,7.702,7.897,7.628,7.879,150879.1
2021-03-06 04:00:00,7.88,8.253,7.878,8.038,393751.4
2021-03-06 08:00:00,8.039,8.5,8.029,8.293,807705.9
2021-03-06 12:00:00,8.291,8.338,7.818,8.125,662728.8
2021-03-06 16:00:00,8.124,8.521,8.078,8.186,646179.8
2021-03-06 20:00:00,8.187,8.518,8.179,8.332,460203.8
2021-03-07 00:00:00,8.334,8.746,8.302,8.532,488787.1
2021-03-07 04:00:00,8.538,8.619,8.156,8.386,383924.4
2021-03-07 08:00:00,8.369,8.559,8.368,8.486,361527.9
2021-03-07 12:00:00,8.486,8.998,8.4,8.888,1203323.1
2021-03-07 16:00:00,8.88,9.51,8.87,9.25,1513651.9
2021-03-07 20:00:00,9.25,9.397,8.9,9.213,650710.5
2021-03-08 00:00:00,9.231,9.565,8.914,9.533,472841.4
2021-03-08 04:00:00,9.527,9.813,9.068,9.256,808147.5
2021-03-08 08:00:00,9.252,9.31,8.95,9.126,527714.3
2021-03-08 12:00:00,9.116,9.309,8.924,9.095,525110.7
2021-03-08 16:00:00,9.105,9.194,8.945,9.158,329028.8
2021-03-08 20:00:00,9.158,9.3,9.118,9.244,372526.3
2021-03-09 00:00:00,9.248,9.44,9.01,9.242,525713.0
2021-03-09 04:00:00,9.248,9.387,8.92,8.981,536108.9
2021-03-09 08:00:00,8.99,9.4,8.971,9.162,652358.3
2021-03-09 12:00:00,9.165,9.6,8.96,9.568,984736.7
2021-03-09 16:00:00,9.579,10.326,9.47,10.119,2074137.6
2021-03-09 20:00:00,10.127,10.146,9.769,9.906,576438.8
2021-03-10 00:00:00,9.916,10.018,8.88,9.086,1212611.8
2021-03-10 04:00:00,9.075,9.71,9.03,9.58,695199.7
2021-03-10 08:00:00,9.579,9.815,9.214,9.422,624649.2
2021-03-10 12:00:00,9.419,9.696,9.231,9.32,673548.3
2021-03-10 16:00:00,9.324,9.367,9.146,9.233,432355.0
2021-03-10 20:00:00,9.227,9.238,8.68,8.859,868833.8
