Open time,Open,High,Low,Close,Volume
2021-04-01 04:00:00,2.0,2.0,1.854,1.8674,358485
2021-04-01 08:00:00,1.867,1.9108,1.802,1.8294,1346873
2021-04-01 12:00:00,1.8298,1.9063,1.821,1.8272,1203895
2021-04-01 16:00:00,1.8272,1.85,1.7341,1.8073,1747951
2021-04-01 20:00:00,1.8074,1.8094,1.7659,1.7901,965114
2021-04-02 00:00:00,1.7905,1.8512,1.7568,1.805,1098769
2021-04-02 04:00:00,1.805,1.8747,1.7818,1.8379,1082111
2021-04-02 08:00:00,1.8375,2.0525,1.8233,1.9213,3373452
2021-04-02 12:00:00,1.9212,1.9411,1.84,1.9041,1562264
2021-04-02 16:00:00,1.9012,1.913,1.7865,1.8242,876115
2021-04-02 20:00:00,1.8252,1.88,1.809,1.8447,674467
2021-04-03 00:00:00,1.8447,1.8743,1.7933,1.8044,595748
2021-04-03 04:00:00,1.8029,1.8333,1.7825,1.7888,1059997
2021-04-03 08:00:00,1.7893,1.8986,1.75,1.8444,2130193
2021-04-03 12:00:00,1.8434,1.873,1.78,1.7865,1167828
2021-04-03 16:00:00,1.7866,1.8168,1.6723,1.7375,1724212
2021-04-03 20:00:00,1.7378,1.816,1.661,1.668,1351324
2021-04-04 00:00:00,1.668,1.7319,1.65,1.7111,946521
2021-04-04 04:00:00,1.7109,1.7209,1.6702,1.719,675759
2021-04-04 08:00:00,1.7195,1.8888,1.7194,1.7954,2103315
2021-04-04 12:00:00,1.7949,1.8825,1.7817,1.8224,1733657
2021-04-04 16:00:00,1.8231,1.9983,1.8022,1.953,2583908
2021-04-04 20:00:00,1.9512,1.9794,1.8813,1.9688,1287221
2021-04-05 00:00:00,1.9684,1.98,1.8974,1.903,754989
2021-04-05 04:00:00,1.9024,1.9319,1.835,1.9093,1223895
2021-04-05 08:00:00,1.9098,2.2626,1.8947,2.2263,3269515
2021-04-05 12:00:00,2.2265,2.25,2.0534,2.1,3357947
2021-04-05 16:00:00,2.1,2.7,2.0111,2.5363,6018906
2021-04-05 20:00:00,2.5405,2.8464,2.4267,2.5222,7165992
2021-04-06 00:00:00,2.5222,2.8,2.5061,2.6863,5017438
2021-04-06 04:00:00,2.6849,2.7398,2.55,2.6199,3513294
2021-04-06 08:00:00,2.6199,2.978,2.479,2.9123,6502067
2021-04-06 12:00:00,2.9055,3.1223,2.7033,2.97,16786759
2021-04-06 16:00:00,2.9667,3.2141,2.5222,2.5275,17273517
2021-04-06 20:00:00,2.5269,2.5674,2.32,2.323,7015536
2021-04-07 00:00:00,2.3218,2.4436,2.21,2.365,6048199
2021-04-07 04:00:00,2.3658,2.5472,2.2182,2.3911,5530558
2021-04-07 08:00:00,2.3911,2.4842,2.0174,2.189,5985865
2021-04-07 12:00:00,2.1893,2.4759,2.0664,2.3562,6053819
2021-04-07 16:00:00,2.3571,3.2003,2.3002,2.8873,27221903
2021-04-07 20:00:00,2.8935,3.17,2.8132,2.933,10753218
2021-04-08 00:00:00,2.924,3.33,2.9048,3.155,12451179
2021-04-08 04:00:00,3.1584,3.2244,2.95,3.1644,8756683
2021-04-08 08:00:00,3.1684,3.4,3.1,3.1715,13852592
2021-04-08 12:00:00,3.1728,3.35,3.1376,3.232,10325255
2021-04-08 16:00:00,3.2319,3.255,2.9718,3.0304,7434339
2021-04-08 20:00:00,3.0312,3.1557,2.9664,3.0909,3198869
2021-04-09 00:00:00,3.0916,3.1032,2.9403,2.9586,3679772
2021-04-09 04:00:00,2.9593,3.2337,2.9455,3.1441,5826230
2021-04-09 08:00:00,3.1456,3.2682,3.0685,3.1881,4754196
2021-04-09 12:00:00,3.1918,3.2174,2.9679,3.0158,4584132
2021-04-09 16:00:00,3.016,3.117,2.843,2.9509,8159457
2021-04-09 20:00:00,2.9519,3.1511,2.8852,2.9533,6843313
2021-04-10 00:00:00,2.9517,2.9673,2.8708,2.9032,2026975
2021-04-10 04:00:00,2.9035,2.9176,2.6516,2.735,4777572
