Open time,Open,High,Low,Close,Volume
2021-01-01 00:00:00,2.4737,2.5686,2.4401,2.5339,956939.6
2021-01-01 04:00:00,2.5338,2.59,2.4998,2.5471,700131.6
2021-01-01 08:00:00,2.5472,2.6828,2.4884,2.6708,1669067.0
2021-01-01 12:00:00,2.6711,2.7686,2.6181,2.6677,2337024.4
2021-01-01 16:00:00,2.6672,2.6896,2.5,2.5435,1605736.6
2021-01-01 20:00:00,2.5434,2.5902,2.5301,2.5443,664556.8
2021-01-02 00:00:00,2.5449,2.5886,2.458,2.5609,1127785.0
2021-01-02 04:00:00,2.5609,2.7289,2.5488,2.6115,1726298.9
2021-01-02 08:00:00,2.6104,2.6414,2.5417,2.5978,1345551.6
2021-01-02 12:00:00,2.5976,2.6302,2.5195,2.5682,1356319.1
2021-01-02 16:00:00,2.5696,2.6397,2.5255,2.5672,1255509.2
2021-01-02 20:00:00,2.5681,2.5718,2.4823,2.5412,1219889.3
2021-01-03 00:00:00,2.5412,2.576,2.5325,2.5449,729034.0
2021-01-03 04:00:00,2.5457,2.5612,2.4884,2.4981,722170.2
2021-01-03 08:00:00,2.4988,2.7147,2.4903,2.6462,2376714.1
2021-01-03 12:00:00,2.6464,2.7569,2.6032,2.6283,2608048.8
2021-01-03 16:00:00,2.6293,2.7553,2.6286,2.7025,1991064.5
2021-01-03 20:00:00,2.7053,3.0642,2.6832,3.0497,5069068.9
2021-01-04 00:00:00,3.0534,3.2558,2.9936,3.2031,7279711.2
2021-01-04 04:00:00,3.2007,3.328,2.8502,2.9935,5655573.3
2021-01-04 08:00:00,2.9939,3.0724,2.6896,2.914,5848757.8
2021-01-04 12:00:00,2.9131,3.4074,2.8481,3.4003,6060281.9
2021-01-04 16:00:00,3.3986,3.4785,3.1187,3.3036,6160788.7
2021-01-04 20:00:00,3.3041,3.3333,3.161,3.2986,2585566.1
2021-01-05 00:00:00,3.2999,3.6727,3.1869,3.2454,8007090.9
2021-01-05 04:00:00,3.2413,3.462,3.1451,3.3183,5203512.1
2021-01-05 08:00:00,3.3195,3.699,3.3195,3.6146,5392910.0
2021-01-05 12:00:00,3.6153,3.7666,3.4733,3.6968,5190189.2
2021-01-05 16:00:00,3.6967,3.7151,3.3545,3.4553,3464492.1
2021-01-05 20:00:00,3.452,3.5696,3.4092,3.5171,1751993.7
2021-01-06 00:00:00,3.5189,3.5484,3.35,3.4521,1960054.9
2021-01-06 04:00:00,3.4525,3.5455,3.4182,3.5244,1546926.8
2021-01-06 08:00:00,3.5243,3.7064,3.4941,3.6556,2692944.7
2021-01-06 12:00:00,3.656,3.8985,3.6119,3.75,3473123.6
2021-01-06 16:00:00,3.7492,3.95,3.5894,3.6049,2266208.1
2021-01-06 20:00:00,3.6049,3.834,3.4867,3.7139,2713224.9
2021-01-07 00:00:00,3.7138,3.95,3.6669,3.8735,1859273.2
2021-01-07 04:00:00,3.872,3.872,3.6297,3.6712,1693395.6
2021-01-07 08:00:00,3.6691,3.7779,3.5101,3.706,1962791.0
2021-01-07 12:00:00,3.7053,3.753,3.6245,3.6991,1383457.2
2021-01-07 16:00:00,3.7,3.9086,3.395,3.6269,6128596.3
2021-01-07 20:00:00,3.6277,3.682,3.4432,3.5159,1549157.8
2021-01-08 00:00:00,3.5169,3.5717,3.0902,3.3066,3211123.4
2021-01-08 04:00:00,3.3065,3.5191,3.2443,3.4824,1695348.2
2021-01-08 08:00:00,3.4847,3.5893,3.4184,3.4713,1216103.7
2021-01-08 12:00:00,3.4707,3.5615,3.2974,3.3832,1735180.3
2021-01-08 16:00:00,3.3843,3.4284,3.2504,3.2965,1329814.5
2021-01-08 20:00:00,3.2963,3.4262,3.2118,3.4088,1328208.0
2021-01-09 00:00:00,3.4086,3.5314,3.3036,3.5265,955049.0
2021-01-09 04:00:00,3.5286,3.5302,3.3391,3.4268,1055245.7
2021-01-09 08:00:00,3.4277,3.6529,3.3906,3.5843,1691064.7
2021-01-09 12:00:00,3.5857,3.7187,3.5273,3.7101,1628178.0
2021-01-09 16:00:00,3.7134,3.8223,3.5573,3.782,3030555.1
2021-01-09 20:00:00,3.7823,3.8485,3.6712,3.7132,1354769.6
2021-01-10 00:00:00,3.7151,3.8852,3.7151,3.7515,1293947.0
2021-01-10 04:00:00,3.7511,4.1402,3.7374,3.9456,2778489.6
2021-01-10 08:00:00,3.9458,4.162,3.552,3.6728,4836264.9
2021-01-10 12:00:00,3.6756,3.9191,3.5989,3.7611,2867436.1
2021-01-10 16:00:00,3.7606,3.7933,3.4246,3.4417,2336604.4
2021-01-10 20:00:00,3.4478,3.6927,3.2356,3.6609,2989647.7
2021-01-11 00:00:00,3.6616,3.6782,2.962,3.1942,3292331.4
2021-01-11 04:00:00,3.1931,3.2722,2.9586,3.1605,3116659.1
2021-01-11 08:00:00,3.1617,3.3351,3.1078,3.1277,1590784.7
2021-01-11 12:00:00,3.1279,3.1821,2.7799,2.831,3092860.4
2021-01-11 16:00:00,2.8306,2.8969,2.5931,2.7789,3662809.0
2021-01-11 20:00:00,2.7777,3.0956,2.7193,3.0894,1619210.3
2021-01-12 00:00:00,3.0932,3.1902,2.9325,3.1738,1462887.8
2021-01-12 04:00:00,3.1767,3.2803,3.0782,3.2052,1228937.8
2021-01-12 08:00:00,3.2049,3.2123,3.0016,3.0454,996991.7
2021-01-12 12:00:00,3.0476,3.093,2.885,3.0067,1328604.8
2021-01-12 16:00:00,3.0064,3.1445,3.0035,3.0343,1259054.7
2021-01-12 20:00:00,3.0337,3.0689,2.9367,2.9916,1298496.6
2021-01-13 00:00:00,2.9934,3.0744,2.8916,3.0305,1356262.3
2021-01-13 04:00:00,3.0306,3.1355,2.9602,3.1142,1068649.7
2021-01-13 08:00:00,3.1144,3.2243,3.085,3.1293,1031142.5
2021-01-13 12:00:00,3.1282,3.2293,3.1023,3.2267,895922.2
2021-01-13 16:00:00,3.2268,3.2779,3.2058,3.231,795114.7
2021-01-13 20:00:00,3.2311,3.2896,3.1746,3.2527,769480.7
2021-01-14 00:00:00,3.253,3.2718,3.1409,3.1654,1169493.2
2021-01-14 04:00:00,3.1642,3.2971,3.1361,3.2518,1059135.2
2021-01-14 08:00:00,3.2518,3.3248,3.191,3.2991,1304401.0
2021-01-14 12:00:00,3.2984,3.3887,3.2012,3.2823,2081274.5
2021-01-14 16:00:00,3.2835,3.3703,3.2541,3.2865,1328962.4
2021-01-14 20:00:00,3.2869,3.3391,3.1011,3.2515,1776709.4
2021-01-15 00:00:00,3.2509,3.4686,3.2188,3.3178,2734955.6
2021-01-15 04:00:00,3.3159,3.4227,3.225,3.3567,1881555.1
2021-01-15 08:00:00,3.3579,3.6657,3.3333,3.547,3172082.8
2021-01-15 12:00:00,3.5471,3.899,3.3558,3.4055,6655047.8
2021-01-15 16:00:00,3.4069,3.5513,3.2359,3.4902,3280712.9
2021-01-15 20:00:00,3.4948,3.656,3.4104,3.609,1399429.2
2021-01-16 00:00:00,3.6074,3.7092,3.4919,3.5959,2129533.5
2021-01-16 04:00:00,3.5975,3.8175,3.5078,3.6988,2002330.3
2021-01-16 08:00:00,3.6992,3.8949,3.6302,3.8831,3061272.8
2021-01-16 12:00:00,3.8854,3.8887,3.67,3.8435,3384184.1
2021-01-16 16:00:00,3.8412,3.8867,3.5317,3.6869,2914599.0
2021-01-16 20:00:00,3.684,3.7363,3.4614,3.554,1769052.0
2021-01-17 00:00:00,3.552,3.6982,3.4807,3.6106,1598573.6
2021-01-17 04:00:00,3.6109,3.656,3.3392,3.402,2023033.6
2021-01-17 08:00:00,3.4017,3.5873,3.34,3.5665,1981913.6
2021-01-17 12:00:00,3.5641,3.8053,3.5172,3.732,3032685.5
2021-01-17 16:00:00,3.7333,3.762,3.5901,3.6152,1512467.3
2021-01-17 20:00:00,3.6204,3.8051,3.6174,3.7267,1444663.0
2021-01-18 00:00:00,3.7267,4.17,3.6524,4.0084,4845919.2
2021-01-18 04:00:00,4.0072,4.4507,4.0,4.255,8583038.5
2021-01-18 08:00:00,4.2561,4.3537,4.0322,4.1613,4282140.3
2021-01-18 12:00:00,4.165,4.2034,3.9438,4.0957,3294064.3
2021-01-18 16:00:00,4.0966,4.1557,3.9639,4.0486,2215764.9
2021-01-18 20:00:00,4.0488,4.2863,4.0218,4.2243,2929072.7
2021-01-19 00:00:00,4.228,4.3515,3.9907,4.0484,3280253.6
2021-01-19 04:00:00,4.0473,4.1026,3.9422,4.0708,1555410.6
2021-01-19 08:00:00,4.0729,4.1536,4.0119,4.0408,1407407.7
2021-01-19 12:00:00,4.0393,4.1933,3.9857,4.0206,1920955.7
2021-01-19 16:00:00,4.02,4.157,3.8128,3.8962,2502222.8
2021-01-19 20:00:00,3.8954,3.9934,3.8492,3.862,1101871.9
2021-01-20 00:00:00,3.8585,4.0391,3.7,3.7048,2253162.9
2021-01-20 04:00:00,3.7044,3.8222,3.63,3.8017,1469980.0
2021-01-20 08:00:00,3.8017,3.8285,3.4802,3.5516,1990764.2
2021-01-20 12:00:00,3.552,3.686,3.4897,3.5678,1384582.5
2021-01-20 16:00:00,3.5683,3.7667,3.4845,3.753,1214406.2
2021-01-20 20:00:00,3.7508,3.862,3.7002,3.8413,1051335.9
2021-01-21 00:00:00,3.8407,3.8605,3.6308,3.6625,964707.4
2021-01-21 04:00:00,3.6623,3.7551,3.532,3.7414,1307290.8
2021-01-21 08:00:00,3.7402,3.7602,3.38,3.4016,2630630.3
2021-01-21 12:00:00,3.3983,3.4594,3.3,3.3596,2044190.3
2021-01-21 16:00:00,3.3614,3.4756,3.3013,3.4688,1062287.1
2021-01-21 20:00:00,3.4678,3.4698,3.1846,3.2066,1599541.6
2021-01-22 00:00:00,3.2056,3.2192,2.9503,3.2002,2478213.9
2021-01-22 04:00:00,3.2026,3.2886,3.1694,3.2069,951889.0
2021-01-22 08:00:00,3.2073,3.341,3.1523,3.3337,768540.8
2021-01-22 12:00:00,3.3356,3.4448,3.3274,3.3815,1021670.9
2021-01-22 16:00:00,3.3796,3.5152,3.3174,3.4379,1190461.2
2021-01-22 20:00:00,3.4352,3.4372,3.3331,3.3569,744649.6
2021-01-23 00:00:00,3.3565,3.4916,3.3146,3.3843,1091614.4
2021-01-23 04:00:00,3.3824,3.5647,3.3784,3.5198,1182218.8
2021-01-23 08:00:00,3.5203,3.5638,3.3035,3.3389,1450923.1
2021-01-23 12:00:00,3.3383,3.5245,3.3149,3.4515,1684379.6
2021-01-23 16:00:00,3.4523,3.6498,3.4145,3.6351,1921279.3
2021-01-23 20:00:00,3.6351,3.7646,3.5741,3.6326,3225675.8
2021-01-24 00:00:00,3.6341,3.8805,3.5859,3.7191,2786545.7
2021-01-24 04:00:00,3.7194,3.7891,3.6486,3.7006,1553302.3
2021-01-24 08:00:00,3.7031,3.7912,3.6672,3.6704,1248333.5
2021-01-24 12:00:00,3.671,3.6938,3.5142,3.5864,1906023.4
2021-01-24 16:00:00,3.5853,3.6279,3.4505,3.4769,1397358.2
2021-01-24 20:00:00,3.4766,3.6218,3.458,3.5937,774280.2
2021-01-25 00:00:00,3.593,3.7404,3.5741,3.5928,1730067.2
2021-01-25 04:00:00,3.5938,3.7167,3.5656,3.643,1088181.3
2021-01-25 08:00:00,3.643,3.7756,3.58,3.7724,2490033.2
2021-01-25 12:00:00,3.7702,3.8322,3.6774,3.7552,4018869.9
2021-01-25 16:00:00,3.7573,3.85,3.5808,3.615,2453987.3
2021-01-25 20:00:00,3.6149,3.6285,3.5,3.5483,1639731.5
2021-01-26 00:00:00,3.5467,3.6784,3.3638,3.4165,1881411.3
2021-01-26 04:00:00,3.4133,3.4848,3.3765,3.4337,1026894.6
2021-01-26 08:00:00,3.4332,3.4777,3.3539,3.4394,872306.0
2021-01-26 12:00:00,3.438,3.4562,3.2544,3.3459,1328078.8
2021-01-26 16:00:00,3.3462,3.4328,3.2973,3.4162,1088898.8
2021-01-26 20:00:00,3.4165,3.4697,3.3692,3.4435,687375.6
2021-01-27 00:00:00,3.4429,3.4534,3.3134,3.3334,713766.2
2021-01-27 04:00:00,3.3325,3.3711,3.28,3.3571,634202.8
2021-01-27 08:00:00,3.3554,3.3554,3.1783,3.1869,1310370.4
2021-01-27 12:00:00,3.1853,3.2338,3.0663,3.1742,1497221.9
2021-01-27 16:00:00,3.175,3.2097,3.0847,3.1856,890865.5
2021-01-27 20:00:00,3.1854,3.231,3.1216,3.1216,621057.1
2021-01-28 00:00:00,3.1233,3.2612,3.0543,3.2565,872877.0
2021-01-28 04:00:00,3.2553,3.3196,3.1964,3.2402,936508.2
2021-01-28 08:00:00,3.2402,3.302,3.1891,3.2726,832602.7
2021-01-28 12:00:00,3.2731,3.388,3.2649,3.3554,1363868.6
2021-01-28 16:00:00,3.354,3.3796,3.2782,3.2985,878545.9
2021-01-28 20:00:00,3.2987,3.4074,3.2864,3.3088,913821.1
2021-01-29 00:00:00,3.3087,3.6439,3.3,3.6238,3847557.4
2021-01-29 04:00:00,3.6237,3.8516,3.4576,3.5879,6440003.8
2021-01-29 08:00:00,3.5845,3.6549,3.4684,3.6059,2544189.2
2021-01-29 12:00:00,3.6058,3.6861,3.5417,3.6299,1894301.3
2021-01-29 16:00:00,3.6299,3.6564,3.3666,3.4194,1799137.0
2021-01-29 20:00:00,3.4203,3.5685,3.3823,3.5086,942292.2
2021-01-30 00:00:00,3.5106,3.5324,3.3356,3.3791,1143135.3
2021-01-30 04:00:00,3.3786,3.4795,3.3556,3.4486,678819.5
2021-01-30 08:00:00,3.449,3.5024,3.4029,3.412,860835.8
2021-01-30 12:00:00,3.4116,3.5396,3.3943,3.5067,965164.0
2021-01-30 16:00:00,3.5073,3.5334,3.4073,3.5227,1274064.4
2021-01-30 20:00:00,3.5229,3.6127,3.4604,3.4904,1177462.0
2021-01-31 00:00:00,3.4894,3.5919,3.4517,3.5178,1294637.7
2021-01-31 04:00:00,3.5189,3.5497,3.4312,3.4421,912690.8
2021-01-31 08:00:00,3.4413,3.5398,3.422,3.53,898493.4
2021-01-31 12:00:00,3.5275,3.7935,3.4284,3.5109,4520853.3
2021-01-31 16:00:00,3.5084,3.5697,3.4237,3.533,1800887.4
2021-01-31 20:00:00,3.5307,3.5567,3.4721,3.5342,1070412.8
2021-02-01 00:00:00,3.5317,3.5371,3.3898,3.4873,1471204.3
2021-02-01 04:00:00,3.4874,3.645,3.4567,3.6153,1967008.9
2021-02-01 08:00:00,3.615,3.8481,3.5528,3.7701,3059415.6
2021-02-01 12:00:00,3.7714,4.38,3.6757,4.2045,16365116.3
2021-02-01 16:00:00,4.2097,4.3,3.9504,4.0869,5293885.0
2021-02-01 20:00:00,4.0875,4.2421,4.0025,4.1858,2593833.0
2021-02-02 00:00:00,4.1837,4.1867,3.8772,3.943,3312132.0
2021-02-02 04:00:00,3.9429,4.1661,3.933,4.01,2698172.9
2021-02-02 08:00:00,4.0072,4.0288,3.9115,3.9888,1841847.2
2021-02-02 12:00:00,3.9895,4.0902,3.9307,4.0369,1895934.0
2021-02-02 16:00:00,4.0382,4.046,3.82,3.838,2148192.9
2021-02-02 20:00:00,3.8401,4.065,3.829,3.9689,1717063.0
2021-02-03 00:00:00,3.9681,4.0118,3.8852,3.9513,1320285.8
2021-02-03 04:00:00,3.9514,4.0901,3.9116,4.0639,1870157.6
2021-02-03 08:00:00,4.0632,4.4433,3.9201,4.4306,5465209.0
2021-02-03 12:00:00,4.4311,4.6741,4.3517,4.4145,9336633.3
2021-02-03 16:00:00,4.4138,4.5813,4.2877,4.4752,3415354.6
2021-02-03 20:00:00,4.4724,4.8432,4.409,4.6399,4444654.0
2021-02-04 00:00:00,4.6399,4.6912,4.4533,4.462,2673074.7
2021-02-04 04:00:00,4.461,4.612,4.4402,4.444,2217000.7
2021-02-04 08:00:00,4.4455,4.46,4.123,4.3243,4160909.0
2021-02-04 12:00:00,4.3254,4.4808,4.1774,4.2811,2447721.1
2021-02-04 16:00:00,4.2832,4.4184,4.2207,4.3638,1908020.2
2021-02-04 20:00:00,4.3638,4.6099,4.3439,4.453,2553329.6
2021-02-05 00:00:00,4.455,4.9964,4.414,4.8877,5474164.6
2021-02-05 04:00:00,4.8896,4.9499,4.735,4.802,2661634.0
2021-02-05 08:00:00,4.801,5.0233,4.7471,4.9663,3171265.9
2021-02-05 12:00:00,4.967,5.2393,4.9166,5.0566,5032538.7
2021-02-05 16:00:00,5.0599,5.5199,5.0358,5.4314,6114964.5
2021-02-05 20:00:00,5.4309,5.5199,5.1562,5.1703,2115001.8
2021-02-06 00:00:00,5.1731,5.4214,4.64,4.8483,5230965.4
2021-02-06 04:00:00,4.8481,5.0552,4.7333,4.9942,2231127.3
2021-02-06 08:00:00,4.9969,5.279,4.7767,4.8188,3244614.3
2021-02-06 12:00:00,4.8232,4.9727,4.7734,4.785,1838473.1
2021-02-06 16:00:00,4.7865,5.06,4.7619,5.0542,2106964.7
2021-02-06 20:00:00,5.0535,5.0965,4.8167,4.9099,1640103.2
2021-02-07 00:00:00,4.9114,5.0476,4.6122,4.6805,2526039.2
2021-02-07 04:00:00,4.6801,4.7333,4.4737,4.719,2222923.4
2021-02-07 08:00:00,4.7187,4.9206,4.7033,4.7918,1898293.2
2021-02-07 12:00:00,4.7955,4.8245,4.4341,4.52,2409523.7
2021-02-07 16:00:00,4.5175,4.5756,4.266,4.5043,2781163.3
2021-02-07 20:00:00,4.5044,4.6809,4.4475,4.6359,1510975.4
2021-02-08 00:00:00,4.6352,4.7759,4.4929,4.7474,1995253.1
2021-02-08 04:00:00,4.7475,4.9566,4.727,4.9151,2713484.7
2021-02-08 08:00:00,4.9148,4.9634,4.7808,4.9112,2034031.4
2021-02-08 12:00:00,4.9151,4.925,4.5926,4.8024,2749609.3
2021-02-08 16:00:00,4.8024,4.8962,4.7093,4.7773,1725084.8
2021-02-08 20:00:00,4.7771,4.911,4.7168,4.8868,2306149.4
2021-02-09 00:00:00,4.8873,4.9057,4.6547,4.7817,2091921.6
2021-02-09 04:00:00,4.7834,5.0911,4.757,4.9729,3117265.1
2021-02-09 08:00:00,4.9739,5.1173,4.8255,4.9779,2914827.6
2021-02-09 12:00:00,4.9766,5.079,4.7566,5.0703,2349220.7
2021-02-09 16:00:00,5.0668,5.2855,4.9092,5.2173,3150612.2
2021-02-09 20:00:00,5.2189,5.2208,5.0676,5.1351,1686574.3
2021-02-10 00:00:00,5.1366,5.5784,5.0951,5.4117,3885660.0
2021-02-10 04:00:00,5.4137,5.4773,5.171,5.3521,2526372.3
2021-02-10 08:00:00,5.3515,5.9878,5.3507,5.7089,4859944.8
2021-02-10 12:00:00,5.71,5.7175,4.82,5.1325,7347823.1
2021-02-10 16:00:00,5.1325,5.505,5.0083,5.4006,3703704.8
2021-02-10 20:00:00,5.4005,5.6166,5.2214,5.5912,2652705.0
2021-02-11 00:00:00,5.5855,5.8843,5.2744,5.7641,4048973.4
2021-02-11 04:00:00,5.7653,6.251,5.6299,6.1471,4797765.1
2021-02-11 08:00:00,6.1465,6.2179,5.8224,5.8686,3073715.2
2021-02-11 12:00:00,5.873,6.0563,5.7747,5.9565,2835422.2
2021-02-11 16:00:00,5.9563,6.1449,5.8333,6.0354,3324667.0
2021-02-11 20:00:00,6.0348,6.0395,5.7679,5.969,2062391.1
2021-02-12 00:00:00,5.9705,6.1162,5.8333,5.8609,2273737.2
