Open time,Open,High,Low,Close,Volume
2021-01-01 00:00:00,1.1717,1.387,1.1545,1.3429,6733419
2021-01-01 04:00:00,1.3437,1.3585,1.2949,1.346,2342093
2021-01-01 08:00:00,1.3478,1.423,1.311,1.3956,3185602
2021-01-01 12:00:00,1.3957,1.4017,1.3302,1.3491,2459466
2021-01-01 16:00:00,1.3504,1.3879,1.2724,1.2952,3606057
2021-01-01 20:00:00,1.295,1.312,1.2833,1.2915,1316191
2021-01-02 00:00:00,1.2918,1.3029,1.232,1.2975,1825152
2021-01-02 04:00:00,1.2976,1.3079,1.2751,1.2765,662506
2021-01-02 08:00:00,1.2755,1.3335,1.2186,1.3253,1980341
2021-01-02 12:00:00,1.3259,1.403,1.3148,1.345,3575179
2021-01-02 16:00:00,1.3459,1.3895,1.3214,1.3851,1690690
2021-01-02 20:00:00,1.3839,1.3848,1.2539,1.2974,2396375
2021-01-03 00:00:00,1.298,1.3405,1.2881,1.3274,759609
2021-01-03 04:00:00,1.3275,1.4149,1.3158,1.3571,1838187
2021-01-03 08:00:00,1.3579,1.4841,1.3255,1.4673,3085363
2021-01-03 12:00:00,1.4671,1.5308,1.4356,1.4837,3495938
2021-01-03 16:00:00,1.4834,1.5099,1.4377,1.4572,2982908
2021-01-03 20:00:00,1.4564,1.5341,1.455,1.4961,2046054
2021-01-04 00:00:00,1.4953,1.5582,1.466,1.5522,1403630
2021-01-04 04:00:00,1.5523,1.6026,1.44,1.4725,3824236
2021-01-04 08:00:00,1.474,1.5267,1.3047,1.4161,5540427
2021-01-04 12:00:00,1.4151,1.5116,1.3903,1.5017,2592603
2021-01-04 16:00:00,1.4999,1.5108,1.41,1.4493,1755028
2021-01-04 20:00:00,1.4494,1.5999,1.4342,1.5958,2375631
2021-01-05 00:00:00,1.5957,1.6549,1.5544,1.5592,1809430
2021-01-05 04:00:00,1.56,1.5936,1.5036,1.5713,1456713
2021-01-05 08:00:00,1.5716,1.6654,1.5584,1.6621,1819071
2021-01-05 12:00:00,1.662,1.668,1.5519,1.6002,1721698
2021-01-05 16:00:00,1.6002,1.639,1.5359,1.5618,1876673
2021-01-05 20:00:00,1.5615,1.6271,1.546,1.5844,1426151
2021-01-06 00:00:00,1.5851,1.6059,1.4717,1.4915,2112706
2021-01-06 04:00:00,1.4928,1.5402,1.4684,1.4982,1450705
2021-01-06 08:00:00,1.4983,1.5373,1.4655,1.5344,1689176
2021-01-06 12:00:00,1.5335,1.5646,1.5093,1.5386,1811107
2021-01-06 16:00:00,1.54,1.6608,1.5323,1.5355,2345126
2021-01-06 20:00:00,1.537,1.607,1.5021,1.5977,1733085
2021-01-07 00:00:00,1.5992,1.6285,1.5169,1.5384,1570108
2021-01-07 04:00:00,1.537,1.5503,1.5,1.5068,1401984
2021-01-07 08:00:00,1.5062,1.5159,1.4341,1.4795,2574605
2021-01-07 12:00:00,1.4795,1.5259,1.4651,1.5197,2274589
2021-01-07 16:00:00,1.5197,1.5395,1.3605,1.4612,3027382
2021-01-07 20:00:00,1.463,1.5008,1.4367,1.4647,1972890
2021-01-08 00:00:00,1.4649,1.4714,1.1979,1.3367,3926773
2021-01-08 04:00:00,1.3356,1.4037,1.2936,1.3985,1965963
2021-01-08 08:00:00,1.4,1.4574,1.3697,1.4361,1604582
2021-01-08 12:00:00,1.4356,1.4536,1.347,1.3887,2192034
2021-01-08 16:00:00,1.3895,1.4082,1.3327,1.3369,1732968
2021-01-08 20:00:00,1.3373,1.3596,1.2926,1.3532,1745399
2021-01-09 00:00:00,1.3536,1.4056,1.3129,1.4025,1694025
2021-01-09 04:00:00,1.4025,1.4335,1.3647,1.43,1212930
2021-01-09 08:00:00,1.4315,1.5036,1.424,1.4956,1579859
2021-01-09 12:00:00,1.4962,1.5838,1.4899,1.5565,3038905
2021-01-09 16:00:00,1.557,1.5688,1.5068,1.5552,1531958
2021-01-09 20:00:00,1.5558,1.6047,1.5257,1.5691,1921180
2021-01-10 00:00:00,1.5671,1.6499,1.567,1.5878,1307837
2021-01-10 04:00:00,1.5874,1.6046,1.5701,1.5995,830453
2021-01-10 08:00:00,1.5979,1.622,1.4438,1.4538,2258311
2021-01-10 12:00:00,1.4538,1.5141,1.4233,1.4846,2002848
2021-01-10 16:00:00,1.4817,1.4947,1.3699,1.4124,2166120
