Open time,Open,High,Low,Close,Volume
2021-02-24 04:00:00,2.0091,2.0856,1.9654,2.0665,316851
2021-02-24 08:00:00,2.0665,2.2209,2.03,2.0731,1582743
2021-02-24 12:00:00,2.0763,2.1727,1.8166,1.9782,2174361
2021-02-24 16:00:00,1.9775,2.0115,1.8921,1.9139,807253
2021-02-24 20:00:00,1.9141,2.0089,1.85,1.9794,945404
2021-02-25 00:00:00,1.9817,2.08,1.9239,1.9368,978187
2021-02-25 04:00:00,1.9365,1.9598,1.883,1.9202,973819
2021-02-25 08:00:00,1.9193,1.938,1.7956,1.907,1305360
2021-02-25 12:00:00,1.907,2.0661,1.8715,1.9881,2646988
2021-02-25 16:00:00,1.9881,2.185,1.9544,1.9926,2765479
2021-02-25 20:00:00,1.9925,1.9933,1.811,1.8351,1436056
2021-02-26 00:00:00,1.8326,1.8854,1.7124,1.8016,1485722
2021-02-26 04:00:00,1.8015,1.8324,1.5651,1.5926,1572601
2021-02-26 08:00:00,1.593,1.7326,1.5921,1.6632,1468504
2021-02-26 12:00:00,1.6632,1.7572,1.6419,1.7354,1182956
2021-02-26 16:00:00,1.7363,1.8396,1.6549,1.676,1599028
2021-02-26 20:00:00,1.6811,1.7478,1.62,1.7011,1456071
2021-02-27 00:00:00,1.7028,1.7769,1.6888,1.7141,989434
2021-02-27 04:00:00,1.714,1.85,1.7,1.7414,1215303
2021-02-27 08:00:00,1.7415,1.8,1.6557,1.7593,1334964
2021-02-27 12:00:00,1.7594,1.85,1.7226,1.7577,1865430
2021-02-27 16:00:00,1.759,1.8138,1.7306,1.8048,1077557
2021-02-27 20:00:00,1.8051,1.8294,1.6707,1.7459,1101202
2021-02-28 00:00:00,1.7437,1.77,1.5791,1.6009,1120154
2021-02-28 04:00:00,1.6016,1.6355,1.5,1.5432,1625274
2021-02-28 08:00:00,1.5414,1.6345,1.5403,1.5993,1118285
2021-02-28 12:00:00,1.5982,1.605,1.3707,1.4,2259095
2021-02-28 16:00:00,1.4014,1.4751,1.3691,1.4691,1846305
2021-02-28 20:00:00,1.4694,1.5499,1.4414,1.475,1575733
2021-03-01 00:00:00,1.4737,1.6416,1.4664,1.579,1451041
2021-03-01 04:00:00,1.5827,1.6464,1.5516,1.5834,1313676
2021-03-01 08:00:00,1.5849,1.7497,1.5765,1.7203,2045420
2021-03-01 12:00:00,1.7205,1.7432,1.6713,1.7281,1433646
