Open time,Open,High,Low,Close,Volume
2021-01-01 00:00:00,63.97,66.46,63.23,65.46,50302.699
2021-01-01 04:00:00,65.44,66.08,64.47,64.7,19397.858
2021-01-01 08:00:00,64.76,67.02,63.75,66.33,59833.912
2021-01-01 12:00:00,66.33,66.96,64.82,65.8,48262.878
2021-01-01 16:00:00,65.84,67.34,54.29,56.37,800288.059
2021-01-01 20:00:00,56.4,59.27,54.6,56.59,404505.182
2021-01-02 00:00:00,56.63,58.53,55.19,57.71,220649.27
2021-01-02 04:00:00,57.7,58.76,57.45,57.51,74237.258
2021-01-02 08:00:00,57.55,59.36,56.7,58.26,91993.172
2021-01-02 12:00:00,58.23,59.98,57.52,58.93,145784.145
2021-01-02 16:00:00,58.93,59.47,57.64,58.5,101651.664
2021-01-02 20:00:00,58.5,58.55,55.88,57.54,94023.797
2021-01-03 00:00:00,57.52,58.36,57.27,57.51,46794.807
2021-01-03 04:00:00,57.5,58.14,56.41,56.45,40820.636
2021-01-03 08:00:00,56.47,58.15,56.32,58.03,58558.019
2021-01-03 12:00:00,58.02,62.01,57.57,58.87,172438.981
2021-01-03 16:00:00,58.85,60.45,58.43,58.67,100507.964
2021-01-03 20:00:00,58.67,60.69,58.62,59.53,61612.019
2021-01-04 00:00:00,59.52,63.13,59.52,62.9,93503.021
2021-01-04 04:00:00,62.9,65.28,60.02,60.96,218844.047
2021-01-04 08:00:00,60.89,61.92,56.68,59.12,236533.6
2021-01-04 12:00:00,59.11,60.04,58.34,58.98,66235.087
2021-01-04 16:00:00,59.0,59.16,57.51,59.09,60024.959
2021-01-04 20:00:00,59.11,60.48,58.4,60.43,40662.166
2021-01-05 00:00:00,60.44,61.29,58.58,58.68,70519.32
2021-01-05 04:00:00,58.67,59.39,57.93,58.24,49074.244
2021-01-05 08:00:00,58.24,59.99,58.23,59.77,36244.678
2021-01-05 12:00:00,59.79,59.98,58.4,59.53,50654.475
2021-01-05 16:00:00,59.54,60.01,58.86,59.37,45796.002
2021-01-05 20:00:00,59.36,60.16,59.07,59.75,33058.548
2021-01-06 00:00:00,59.72,60.61,59.06,60.06,51646.214
2021-01-06 04:00:00,60.05,61.1,59.62,60.15,48192.344
2021-01-06 08:00:00,60.14,62.1,59.55,61.17,78112.301
2021-01-06 12:00:00,61.16,64.51,60.58,64.01,127924.271
2021-01-06 16:00:00,64.01,65.49,62.56,62.66,100849.872
2021-01-06 20:00:00,62.64,64.15,61.8,64.05,88073.315
2021-01-07 00:00:00,64.09,69.01,63.07,68.05,123856.375
2021-01-07 04:00:00,68.06,69.12,66.55,66.88,89416.69
2021-01-07 08:00:00,66.91,72.61,63.77,72.14,214335.636
2021-01-07 12:00:00,72.1,74.71,69.88,71.39,165772.579
2021-01-07 16:00:00,71.41,73.04,63.8,68.81,325077.051
2021-01-07 20:00:00,68.82,71.07,66.92,67.88,99659.351
2021-01-08 00:00:00,67.89,69.0,61.2,64.67,213860.01
2021-01-08 04:00:00,64.66,67.16,63.07,66.38,76771.054
2021-01-08 08:00:00,66.39,69.09,64.71,67.2,85142.269
2021-01-08 12:00:00,67.15,68.61,64.6,66.54,131108.49
2021-01-08 16:00:00,66.55,70.15,66.54,69.83,100615.827
2021-01-08 20:00:00,69.85,70.19,67.12,68.69,62709.108
